Node;Latitude;Longitude;Bairro;Geo_origem;Pontuacao_media;Impactado;Estressado;Total;Portas_coletadas
BL_RGD022_25_26;-32.08180418725981;-52.15654546998634;Vila São Miguel / entorno;BL_RGD022;100.0;0;0;16;1
BL_RGD023;-32.07045524258463;-52.15151034658286;Vila São Miguel / entorno;BL_RGD023;81.0;2;1;31;1
BL_RGD027;-32.06518062504131;-52.145966163659814;Vila São Miguel / entorno;BL_RGD027;100.0;0;0;16;1
CASAA;-32.181101454545455;-52.15225490909091;Cassino;CASAA;86.5;11;11;306;4
CASAB;-32.189798;-52.164212625000005;Cassino;CASAB;82.3;14;12;299;3
CASAC;-32.184732875;-52.16946625;Cassino;CASAC;73.5;40;45;337;4
CASAD;-32.18043921428572;-52.16686807142857;Cassino;CASAD;87.2;6;39;351;4
CASAE;-32.176237923076926;-52.16549315384616;Cassino;CASAE;88.2;4;8;290;4
CASAF;-32.175823933333334;-52.156359599999995;Cassino;CASAF;88.0;5;21;391;4
CASAG;-32.18065027272728;-52.15740209090909;Cassino;CASAG;90.8;4;3;258;4
CDNAAA;-32.03270942380531;-52.109279185177535;Centro / entorno;CDNAAA;83.2;5;5;120;4
CDNAAB;-32.03181630921594;-52.10667184339557;Centro / entorno;CDNAAB;83.5;4;10;142;2
CDNABA;-32.045421408842216;-52.11643715109376;Lagoa / entorno;CDNABA;79.7;12;12;146;3
CDNABB;-32.05063685821321;-52.11565166246525;Lagoa / entorno;CDNABB;86.2;11;20;323;4
CDNAC;-32.04871283333333;-52.107739333333335;Lagoa / entorno;CDNAC;86.8;4;27;357;5
CDNAD;-32.03909916;-52.11324696;Centro / entorno;CDNAD;72.2;53;70;470;4
CDNAEA;-32.03897633726216;-52.11383294680499;Centro / entorno;CDNAEA;94.0;1;2;224;2
CDNAEB;-32.037827516677616;-52.11685722199372;Centro / entorno;CDNAEB;0.0;0;0;236;4
CDNAFA;-32.04484849514796;-52.11945539053729;Lagoa / entorno;CDNAFA;67.2;9;15;299;4
CDNAFB;-32.042984403104604;-52.115111280615196;Lagoa / entorno;CDNAFB;94.0;1;2;202;2
CDNAG;-32.0379026875;-52.108343312500004;Centro / entorno;CDNAG;86.2;9;13;391;4
CDNAHA;-32.052647007413995;-52.1293808305823;Vila Junção / Lagoa;CDNAHA;84.0;82;57;315;4
CDNAHB;-32.05084894926648;-52.13379415565796;Vila Junção / Lagoa;CDNAHB;87.5;6;30;304;4
