Node,Latitude,Longitude,RX,Origem,Status
BL_RGD022_25_26,-32.08180418725981,-52.15654546998634,,RIO GRANDE,
BL_RGD023,-32.07045524258463,-52.15151034658286,,RIO GRANDE,
BL_RGD027,-32.06518062504131,-52.14596616365981,,RIO GRANDE,
CASAA,-32.181101454545455,-52.15225490909091,,RIO GRANDE,
CASAB,-32.189798,-52.164212625000005,,RIO GRANDE,
CASAC,-32.184732875,-52.16946625,,RIO GRANDE,
CASAD,-32.18043921428572,-52.16686807142857,,RIO GRANDE,
CASAE,-32.176237923076926,-52.16549315384616,,RIO GRANDE,
CASAF,-32.175823933333334,-52.1563596,,RIO GRANDE,
CASAG,-32.18065027272728,-52.15740209090909,,RIO GRANDE,
CDNAAA,-32.03270942380531,-52.109279185177535,,RIO GRANDE,
CDNAAB,-32.03181630921594,-52.10667184339557,,RIO GRANDE,
CDNABA,-32.045421408842216,-52.11643715109376,,RIO GRANDE,
CDNABB,-32.05063685821321,-52.11565166246525,,RIO GRANDE,
CDNAC,-32.04871283333333,-52.107739333333335,,RIO GRANDE,
CDNAD,-32.03909916,-52.11324696,,RIO GRANDE,
CDNAEA,-32.03897633726216,-52.11383294680499,,RIO GRANDE,
CDNAEB,-32.037827516677616,-52.11685722199372,,RIO GRANDE,
CDNAFA,-32.04484849514796,-52.11945539053729,,RIO GRANDE,
CDNAFB,-32.042984403104604,-52.1151112806152,,RIO GRANDE,
CDNAG,-32.0379026875,-52.1083433125,,RIO GRANDE,
CDNAHA,-32.052647007413995,-52.1293808305823,,RIO GRANDE,
CDNAHB,-32.05084894926648,-52.13379415565796,,RIO GRANDE,
CDNAIA,-32.04682733892339,-52.1284717295939,,RIO GRANDE,
CDNAIB,-32.04616091775819,-52.12237619517257,,RIO GRANDE,
CDNAJA,-32.0429859023592,-52.12791709482333,,RIO GRANDE,
CDNAJB,-32.04111623144326,-52.1221622824937,,RIO GRANDE,
CNTAAA,-32.03364023943695,-52.09101153477868,,RIO GRANDE,
CNTAAB,-32.03199115937007,-52.09446776725207,,RIO GRANDE,
CNTAB,-32.030123950000004,-52.1024175,,RIO GRANDE,
CNTAC,-32.03279057142857,-52.09553642857144,,RIO GRANDE,
CNTAD,-32.03506019230769,-52.0981005,,RIO GRANDE,
CNTAEA,-32.03604093333333,-52.10479256666667,,RIO GRANDE,
CNTAEB,-32.03604093333333,-52.10479256666667,,RIO GRANDE,
CNTAF,-32.039559652173914,-52.10002591304348,,RIO GRANDE,
CNTAG,-32.039211586206896,-52.0873748275862,,RIO GRANDE,
CNTAHA,-32.043844373016896,-52.09720899215716,,RIO GRANDE,
CNTAHB,-32.04489262220133,-52.09436193189644,,RIO GRANDE,
CNTAI,-32.03218883333333,-52.08438294444445,,RIO GRANDE,
JUNAAA,-32.05187427732309,-52.12236249000384,,RIO GRANDE,
JUNAAB,-32.060264819135135,-52.14127752190764,,RIO GRANDE,
JUNABA,-32.05481631603531,-52.13898975030529,,RIO GRANDE,
JUNABB,-32.05397876313208,-52.13970335852336,,RIO GRANDE,
JUNACA,-32.0522888692917,-52.14046248365887,,RIO GRANDE,
JUNACB,-32.04960303438378,-52.146573500088905,,RIO GRANDE,
JUNAD,-32.05882515995588,-52.13922340373769,,RIO GRANDE,
TRVAAA,-32.10676657736914,-52.17515755768928,,RIO GRANDE,
TRVAAB,-32.11024645185507,-52.17437017466357,,RIO GRANDE,
TRVABA,-32.09970939424058,-52.1870110398605,,RIO GRANDE,
TRVABB,-32.10134494508828,-52.183537535633015,,RIO GRANDE,
TRVABC,-32.096056117376484,-52.18386444979323,,RIO GRANDE,
TRVACA,-32.09861988140687,-52.18109507506217,,RIO GRANDE,
TRVACB,-32.09517554233788,-52.17781182398977,,RIO GRANDE,
TRVACC,-32.092000872273154,-52.17955199708008,,RIO GRANDE,
TRVACD,-32.092000872273154,-52.17955199708008,,RIO GRANDE,
TRVAD,-32.101174,-52.17055928571428,,RIO GRANDE,
TRVAE,-32.0956966,-52.159468,,RIO GRANDE,
CNTAA,-32.03184247619048,-52.09107380952381,,RIO GRANDE,
