Node,Bairro
BL_RGD022_25_26,Vila São Miguel / entorno
BL_RGD023,Vila São Miguel / entorno
BL_RGD027,Vila São Miguel / entorno
CASAA,Cassino
CASAB,Cassino
CASAC,Cassino
CASAD,Cassino
CASAE,Cassino
CASAF,Cassino
CASAG,Cassino
CDNAAA,Centro / entorno
CDNAAB,Centro / entorno
CDNABA,Lagoa / entorno
CDNABB,Lagoa / entorno
CDNAC,Lagoa / entorno
CDNAD,Centro / entorno
CDNAEA,Centro / entorno
CDNAEB,Centro / entorno
CDNAFA,Lagoa / entorno
CDNAFB,Lagoa / entorno
CDNAG,Centro / entorno
CDNAHA,Vila Junção / Lagoa
CDNAHB,Vila Junção / Lagoa
CDNAIA,Lagoa / entorno
CDNAIB,Lagoa / entorno
CDNAJA,Lagoa / entorno
CDNAJB,Lagoa / entorno
CNTAAA,Vila Militar / entorno
CNTAAB,Vila Militar / entorno
CNTAB,Centro / entorno
CNTAC,Centro / entorno
CNTAD,Centro / entorno
CNTAEA,Centro / entorno
CNTAEB,Centro / entorno
CNTAF,Centro / entorno
CNTAG,Vila Militar / entorno
CNTAHA,Centro / entorno
CNTAHB,Vila Militar / entorno
CNTAI,Vila Militar / entorno
JUNAAA,Vila Junção / Lagoa
JUNAAB,Vila Junção / Lagoa
JUNABA,Vila Junção / Lagoa
JUNABB,Vila Junção / Lagoa
JUNACA,Vila Junção / Lagoa
JUNACB,Vila Junção / Lagoa
JUNAD,Vila Junção / Lagoa
TRVAAA,Parque Residencial São Pedro
TRVAAB,Parque Residencial São Pedro
TRVABA,Parque Marinha
TRVABB,Parque Marinha
TRVABC,Parque Marinha
TRVACA,Parque Marinha
TRVACB,Parque Marinha
TRVACC,Parque Marinha
TRVACD,Parque Marinha
TRVAD,Parque Marinha
TRVAE,Parque Marinha
CNTAA,Vila Militar / entorno
