Node,Regiao
BL_RGD022_25_26,RIO GRANDE
BL_RGD023,RIO GRANDE
BL_RGD027,RIO GRANDE
CASAA,RIO GRANDE
CASAB,RIO GRANDE
CASAC,RIO GRANDE
CASAD,RIO GRANDE
CASAE,RIO GRANDE
CASAF,RIO GRANDE
CASAG,RIO GRANDE
CDNAAA,RIO GRANDE
CDNAAB,RIO GRANDE
CDNABA,RIO GRANDE
CDNABB,RIO GRANDE
CDNAC,RIO GRANDE
CDNAD,RIO GRANDE
CDNAEA,RIO GRANDE
CDNAEB,RIO GRANDE
CDNAFA,RIO GRANDE
CDNAFB,RIO GRANDE
CDNAG,RIO GRANDE
CDNAHA,RIO GRANDE
CDNAHB,RIO GRANDE
CDNAIA,RIO GRANDE
CDNAIB,RIO GRANDE
CDNAJA,RIO GRANDE
CDNAJB,RIO GRANDE
CNTAAA,RIO GRANDE
CNTAAB,RIO GRANDE
CNTAB,RIO GRANDE
CNTAC,RIO GRANDE
CNTAD,RIO GRANDE
CNTAEA,RIO GRANDE
CNTAEB,RIO GRANDE
CNTAF,RIO GRANDE
CNTAG,RIO GRANDE
CNTAHA,RIO GRANDE
CNTAHB,RIO GRANDE
CNTAI,RIO GRANDE
JUNAAA,RIO GRANDE
JUNAAB,RIO GRANDE
JUNABA,RIO GRANDE
JUNABB,RIO GRANDE
JUNACA,RIO GRANDE
JUNACB,RIO GRANDE
JUNAD,RIO GRANDE
TRVAAA,RIO GRANDE
TRVAAB,RIO GRANDE
TRVABA,RIO GRANDE
TRVABA3,RIO GRANDE
TRVABB,RIO GRANDE
TRVABC,RIO GRANDE
TRVACA,RIO GRANDE
TRVACB,RIO GRANDE
TRVACC,RIO GRANDE
TRVACD,RIO GRANDE
TRVAD,RIO GRANDE
TRVAE,RIO GRANDE
CNTAA,RIO GRANDE
